benchmark,alpha,rmse_test,median_abs,max_abs,n_explode,selected
mmlupro,0.0,0.011791312134448983,0.0063150692582130425,0.049812721848487854,0,True
mmlupro,1.0,0.011792660891441474,0.006312550590855316,0.04983325665298834,0,False
mmlupro,2.0,0.011794008396150406,0.0063100323476941965,0.04985374889830851,0,False
mmlupro,5.0,0.011798043425957833,0.006302480162319099,0.049914971598169995,0,False
mmlupro,10.0,0.011804743704242844,0.0062899016606319195,0.05001617047683792,1,False
mmlupro,20.0,0.011818052690599731,0.006264776386430227,0.050215479763817766,1,False
mmlupro,50.0,0.011857273463858354,0.0061919673748272504,0.05078979744268664,1,False
mmlupro,100.0,0.01192046074593486,0.006127275962668493,0.051674956235925995,1,False
mmlupro,200.0,0.012039888162699516,0.005940861044070359,0.05321694395312537,1,False
mmlupro,500.0,0.012362464354764397,0.006051025585167468,0.05657811881993948,1,False
mmlupro,1000.0,0.0128601832361994,0.0062472504926114,0.05989705783344331,1,False
mmlupro,5000.0,0.01730815563368299,0.009056180825694208,0.06641137314688413,1,False
mmlupro,1000000000.0,0.04130557056717405,0.031041770366331108,0.07902564781848441,11,False
matharena,0.0,0.05756158135564767,0.021801644682884216,0.3123814017176628,9,False
matharena,1.0,0.05753305884886947,0.021760739272477438,0.31264100863536193,9,False
matharena,2.0,0.057508120170581184,0.02172102874910349,0.3128264421480042,9,False
matharena,5.0,0.057447227786027136,0.021608552558943325,0.31316022247076036,9,False
matharena,10.0,0.05737183752286215,0.02146266397102073,0.31341982938845947,9,False
matharena,20.0,0.05726537109586058,0.021599924464456056,0.3136275149226188,9,False
matharena,50.0,0.057072196664141615,0.02137086184875425,0.31379743945056743,9,False
matharena,100.0,0.056896047541541026,0.020764622168936507,0.31386486981880096,9,False
matharena,200.0,0.05672282302254965,0.020405591264686815,0.31390105196760937,9,False
matharena,500.0,0.05655262921298269,0.019873310034808935,0.3139236210307272,7,False
matharena,1000.0,0.05648196933035533,0.01947572524805573,0.313931293763628,7,False
matharena,5000.0,0.05642878998295308,0.018952456911260074,0.31393748713843717,7,False
matharena,1000000000.0,0.05641861032541643,0.018802011551217385,0.3139390432160697,7,True
