benchmark,strategy,keep_rate,grand_mean,mean_abs,median_abs,p95_abs,max_abs,n_explode,rmse
mmlupro,naive,0.5,0.010401928660770257,0.012512902108331522,0.012363677322864532,0.02220109990239143,0.023101183772087096,0,0.014407705400242492
mmlupro,clip05,0.5,-0.011603942530566345,0.012078389635814096,0.010326916065394256,0.016494865842886137,0.07825976741740853,1,0.015694993012057838
mmlupro,clip10,0.5,-0.01181082688638326,0.012285553976538315,0.0103104842785679,0.01765492335971244,0.08667037500232444,1,0.016636143062689415
mmlupro,clip20,0.5,-0.011857691635004412,0.012340782812330234,0.009681400334792322,0.02034170323728344,0.08826772669295319,1,0.01695856485603711
mmlupro,snorm05,0.5,-0.011384590321988039,0.011858184854209605,0.010310987826869641,0.016425094265362504,0.06685003849018954,1,0.014563748478789752
mmlupro,snorm10,0.5,-0.011718253720873345,0.01219231547935834,0.010335488782060274,0.01676308369918404,0.08221266365915253,1,0.01614207702992882
mmlupro,naive,0.7,0.007132767351965109,0.008840700301031271,0.00994510844349861,0.015039904356002805,0.028123297691345216,0,0.010399504775132518
mmlupro,clip05,0.7,-0.007391825535920927,0.007769801775969792,0.0064223218904866965,0.011063983706885367,0.06678550922319787,1,0.011766708418661507
mmlupro,clip10,0.7,-0.00759229852731276,0.007971783460764076,0.006421385715239409,0.011151597630411464,0.07471564495386575,1,0.012742771288106821
mmlupro,clip20,0.7,-0.007881376694756166,0.008304264637412682,0.006672225724262676,0.01210884740032189,0.08358558917306447,1,0.013976599195626264
mmlupro,snorm05,0.7,-0.007233616689705795,0.007610518785028529,0.006415386612660344,0.010948830225412176,0.05892806143665813,1,0.01085685835489735
mmlupro,snorm10,0.7,-0.007406397186230318,0.0077802181393550815,0.006407312709324878,0.011006420487667198,0.0658408644238533,1,0.011670912913788968
mmlupro,naive,0.9,0.003002495759477218,0.003643183701982101,0.003970547914505004,0.006611620873212813,0.01347754716873169,0,0.004385134037475655
mmlupro,clip05,0.9,-0.002586416470617442,0.0027733067611183404,0.002105747341758072,0.004342572468082163,0.02766536840520977,0,0.004660734653708573
mmlupro,clip10,0.9,-0.0027788039500934564,0.003149397752288873,0.0027477918960852775,0.005516088551248117,0.031172564267026363,0,0.005356750838821976
mmlupro,clip20,0.9,-0.0034480475674242665,0.0060080615238667645,0.00572899827888371,0.01037922846031496,0.03363284503457371,0,0.007786007161439006
mmlupro,snorm05,0.9,-0.0025608539877413536,0.002732382340452579,0.0020028367888255162,0.004147605651474953,0.027492791335737916,0,0.004617282729731412
mmlupro,snorm10,0.9,-0.002572165298796453,0.002744375254142896,0.0019611727720578536,0.004380299183974443,0.03078799140544873,0,0.005049069036540108
matharena,naive,0.5,0.056293849269068524,0.05657652520254673,0.053988577127456666,0.11025782430171967,0.1356591698527336,48,0.064537430228879
matharena,clip05,0.5,0.03150379273679232,0.04570907685375002,0.03599860959721015,0.08846323835803421,0.33969340375065804,31,0.06570873094432009
matharena,clip10,0.5,0.031424650406334714,0.04562993452329242,0.03599860959721015,0.08737903867837822,0.33969340375065804,31,0.06562782025668479
matharena,clip20,0.5,0.03085979372951747,0.04506506691548131,0.034267793944116776,0.08744537772654518,0.33969340375065804,31,0.06520884794986116
matharena,snorm05,0.5,0.03150940144629948,0.045717394211993584,0.03564252597224441,0.08982213901201512,0.339693403840065,31,0.06578333001993479
matharena,snorm10,0.5,0.03144327267945934,0.04565126544515343,0.03564252597224441,0.08909608417753871,0.339693403840065,31,0.0657165840980705
matharena,naive,0.7,0.03492846036668528,0.035214787589978765,0.03275238990783691,0.0775144919008016,0.1000884461402893,18,0.041417679559692784
matharena,clip05,0.7,0.017499713949943378,0.03094309006358179,0.021624309360333542,0.06055050809206408,0.3185742927634363,9,0.05339393820416439
matharena,clip10,0.7,0.017512713184480153,0.03095608929811856,0.021624309360333542,0.06055050809206408,0.3185742927634363,9,0.05339529228373291
matharena,clip20,0.7,0.017499203143490825,0.030943482012344283,0.02163031449464496,0.06029084171576297,0.3185742927634363,9,0.053366991901739526
matharena,snorm05,0.7,0.017495964577532486,0.030937960548046654,0.021133552818632155,0.061202840882947016,0.31852818931410415,9,0.05340906625963553
matharena,snorm10,0.7,0.01750663651345027,0.03094863248396444,0.021133552818632155,0.061202840882947016,0.31852818931410415,9,0.053410212115690595
matharena,naive,0.9,0.012684954812072895,0.012744491378861396,0.011742527186870575,0.02937559948861599,0.0511692650616169,1,0.015763260557260236
matharena,clip05,0.9,0.005517536762881393,0.012231679436816316,0.007228431661888085,0.02657289359177274,0.1599552562404896,2,0.025068388996744247
matharena,clip10,0.9,0.005266973427785301,0.01201786872281262,0.006944720088064259,0.026565721925230802,0.1599552562404896,2,0.025009485834323313
matharena,clip20,0.9,0.004190948358538262,0.01112815441574097,0.005925279242271597,0.02653065849274212,0.1600653859232074,2,0.024781808368009067
matharena,snorm05,0.9,0.005556810496545287,0.012272687670368133,0.0071486933971373744,0.02671789503789937,0.16005330526618597,2,0.025070217290365963
matharena,snorm10,0.9,0.005545598413401165,0.012261475587224012,0.007197228183718287,0.026711583294441253,0.16005330526618597,2,0.025057965871822754
