item_id,item_difficulty,item_discrimination,n_models_observed,content_length
008b97535cba884d,1.0,,3,37
028b4acce115d918,1.0,,3,30
0d181d6a6b52783e,0.6666666666666666,0.9837827088491456,3,30
10a02f993b8e10bd,1.0,,3,35
111c1909f0610f96,1.0,,3,48
140884818ec8d439,1.0,,3,33
1542856311aa4ed6,1.0,,3,48
15b729bbbe44ac30,1.0,,3,55
1802a83e756a814f,1.0,,3,55
185017ff695455aa,0.0,,3,48
199b49537a177cb1,1.0,,3,36
1a384eea340289be,1.0,,3,41
1d58ee3752f39cc0,0.0,,3,40
1da7a48a48041b42,1.0,,3,54
214aea55a5b0eb5b,1.0,,3,48
22255fea08466d58,1.0,,3,35
24437db3caa1f1c3,0.6666666666666666,0.9837827088491456,3,49
25868b849c5558f2,0.6666666666666666,0.9837827088491456,3,58
28dd0d6dae9ba564,1.0,,3,44
29421f733ea78c27,0.6666666666666666,0.9837827088491456,3,41
2fc8f65fd0e5023e,0.3333333333333333,0.6472254663481222,3,54
3019dcd5dd323b4d,1.0,,3,50
3388afdce300a3ef,1.0,,3,40
3a31566e4ce73461,1.0,,3,48
3b2a9f19f6581a21,1.0,,3,34
3c9dbcb955d27548,1.0,,3,47
3cfa8f7146f2215c,1.0,,3,43
40915522716d59c4,0.6666666666666666,0.9837827088491456,3,48
4104c140f79186c8,0.6666666666666666,-0.33655724250102376,3,45
4283fde8ee7c7cc5,1.0,,3,32
47367f95fc8c771f,0.6666666666666666,0.9837827088491456,3,36
4740593433bb5c9f,0.3333333333333333,0.6472254663481222,3,31
4ad9fb161021a9bf,1.0,,3,34
532b493a86b57d20,1.0,,3,45
5336118181b77e64,1.0,,3,43
538f90068633efbc,0.6666666666666666,0.9837827088491456,3,34
54ec7158dee5a5ac,1.0,,3,36
5629d34714646b4c,1.0,,3,34
567591beb3bae0a9,1.0,,3,57
569514232e55f234,1.0,,3,38
56ffdd1f5b8d7a47,1.0,,3,50
585fb32c0bcd16a1,1.0,,3,43
5a0c18c832389226,1.0,,3,42
5a5a4c113862133b,1.0,,3,37
5bbc9a1985ea39a7,1.0,,3,47
5d1282db2ca32778,0.3333333333333333,0.33655724250102365,3,48
5db9005eeea40ef6,1.0,,3,41
5febc4f056efbedc,0.6666666666666666,0.9837827088491456,3,42
6075480b9c742848,1.0,,3,33
61d2b126bde860a4,1.0,,3,35
6244f5888e342c53,1.0,,3,50
62648ed916c89e8f,0.6666666666666666,0.9837827088491456,3,48
62983b78ab84fc43,1.0,,3,53
629e4db8629ea827,1.0,,3,54
64d57eb1b6a59c3f,0.6666666666666666,0.9837827088491456,3,50
69de5d5e98d7d9e6,1.0,,3,42
6ba142154da399ec,1.0,,3,46
6e4d4005bf8f2912,1.0,,3,35
6f9a5458432d61d7,1.0,,3,64
6feb381152a818a3,1.0,,3,41
72c91c525943d879,1.0,,3,45
74cf4ada8d7af925,1.0,,3,55
7ad645f7ba571ba6,1.0,,3,45
7d710d5eee38e9f5,0.6666666666666666,-0.647225466348122,3,42
7edc1d10cb083666,1.0,,3,44
858da12fe2d17c8f,1.0,,3,33
8787f38044f2474c,1.0,,3,37
8794a6700b1ee9aa,1.0,,3,40
88312951bbbbae15,1.0,,3,45
8a52488b50094961,1.0,,3,47
8aa40a0cabdb9e29,0.6666666666666666,-0.33655724250102376,3,52
91437cf898519ac5,1.0,,3,52
93c3948d64180e72,1.0,,3,38
95d1a758f7f36c8f,1.0,,3,40
9b4180a10e998382,1.0,,3,68
9c2fd07ee79c458b,1.0,,3,39
a1bfcb687d14fc50,1.0,,3,32
a6558cdd7a68068d,1.0,,3,54
a6a283a334f2850b,1.0,,3,37
ab25128582879fdf,0.6666666666666666,0.9837827088491456,3,43
abdd8ce8a9473c65,0.3333333333333333,0.33655724250102365,3,38
b0d5d85db5b753a6,0.6666666666666666,0.9837827088491456,3,60
b1b932ca2e668255,1.0,,3,34
b228714534ff97e4,1.0,,3,30
b40d6f22d7b160d6,1.0,,3,39
b6510e7837e213a6,0.6666666666666666,0.9837827088491456,3,35
b826c66c74a8b335,1.0,,3,48
b8b6c4582a129ce4,1.0,,3,55
ba3fcea80a4b7d1e,1.0,,3,47
be6906c9f1e8f5c0,1.0,,3,44
be74780946f7a931,1.0,,3,44
c1299e30bb34aab0,1.0,,3,34
c152a6dc298143e8,1.0,,3,40
c259e3caca0776fc,1.0,,3,45
c4bc8a1e3bfbd2e2,0.6666666666666666,0.9837827088491456,3,47
c7fcbcabfae77ce1,0.6666666666666666,0.9837827088491456,3,38
cc5320eb852bcba5,0.3333333333333333,0.6472254663481222,3,40
d089777521d55c26,1.0,,3,56
d12ca36690c2fc71,1.0,,3,34
d28e4c6380a63bdc,1.0,,3,46
d3caa5a97d8a05f1,1.0,,3,40
d417e0b0f65747fa,0.3333333333333333,0.6472254663481222,3,45
db74056f375a4019,0.6666666666666666,0.9837827088491456,3,44
de3ca78e01c98833,1.0,,3,48
deecfc58bcb6a2e7,1.0,,3,36
e12a9ab6aff3353b,1.0,,3,43
e34b98b0c4bca700,0.3333333333333333,0.33655724250102365,3,35
e4131a16e897511d,0.6666666666666666,-0.33655724250102376,3,42
e7ff2a7a353f3bc9,0.6666666666666666,0.9837827088491456,3,40
ecbfa9124bbe620c,0.6666666666666666,0.9837827088491456,3,33
f0bd450431292014,1.0,,3,41
f6a0c21485e102d1,1.0,,3,33
f7f10a15e9a55aa3,1.0,,3,42
f9811e2aaeedca35,1.0,,3,41
fab73ec2341435b0,1.0,,3,38
fed37fb5a279e75c,0.6666666666666666,-0.33655724250102376,3,30
