item_id,item_difficulty,item_discrimination,n_models_observed,content_length
04c0d8890eb730d2,0.125,0.8132500607904438,8,268
10b58a73ff700da2,0.0,,8,38
12f82c8f658b9503,0.0,,8,213
15acc7bf0c94fb93,0.0,,8,398
17a68f96e6a2591d,0.0,,8,30
19e969b8552bfa3e,0.25,0.8447367914999203,8,33
1d35f8430dfeb8d7,0.0,,8,272
1d7097cd6da0a41b,0.0,,8,48
1e302b17ac8614c1,0.75,-0.04969039949999531,8,196
2fe857c25037bc5b,0.5,0.7745966692414831,8,307
37c6264d9a90497c,0.0,,8,343
38e043e350e2e480,0.0,,8,336
5c8642430bb7ccb5,0.0,,8,763
6254ffc468b3e38f,0.0,,8,31
6a9f1560c8f77673,0.0,,8,187
6c02e94652fa3422,0.0,,8,383
74977ae38bbf4fe2,0.0,,8,30
75e339dd8f1b0dbb,0.0,,8,250
75ea050a63c1132b,0.0,,8,30
7b5f6940d7a7b2e4,0.0,,8,242
8a4d44934674d5a9,0.25,0.44721359549995765,8,322
8c942959fc6944bd,0.0,,8,275
984cb624bd52eb02,0.0,,8,302
9a711d1193de17de,0.0,,8,266
9edbd212eb8f0d11,0.0,,8,237
a00ef9abe04844c4,0.125,0.29277002188455986,8,317
aa904a003e977ab8,0.0,,8,305
c4e6638fec106676,0.0,,8,38
c926ed053e06c40c,0.0,,8,230
cade4b66d1c5330d,0.0,,8,182
d151df23f492d444,0.875,0.48795003647426655,8,214
d4482750283fd37e,0.0,,8,228
e1ecc80dd5be4c1e,0.0,,8,410
ee795d371ebd3378,0.0,,8,323
f60e672df2580a1c,0.0,,8,279
f61ac6d1bd6230a7,0.0,,8,362
f932d4704ae65014,1.0,,8,313
fa45d40f50273141,0.0,,8,653
fb2e05eb92e738dd,0.0,,8,447
fdf181f4ad674abc,0.0,,8,39
