item_id,item_difficulty,item_discrimination,n_models_observed,content_length
0143c0c92c4eb79a,0.9127906976744186,0.6924211796412116,43,164
017f46d562bb98f6,0.9886363636363636,-0.19556787723036947,22,467
01d9bba61f27655f,0.9456521739130435,0.5485092914165878,23,706
029a6831dd3d0931,0.0,,23,1188
02a87892c54e660d,0.19886363636363635,0.44705680155928856,22,531
03ead7b7577191e5,0.005434782608695652,0.2169748197102462,23,553
042afd0bd819eaf8,0.14705882352941177,0.4222876861470349,17,312
069ee820accf6e58,0.9829545454545454,0.3582630535859826,44,131
0770152eaa28c06e,0.9883720930232558,0.10094610933002313,43,114
077e249fcb32230b,0.19172262922262923,0.44515034591021474,78,357
080f59d70cc2173e,0.28125,0.47549155735303905,16,1065
0838343b0cecc156,0.5738636363636364,0.5783866540809094,44,593
0908f1cc53f18442,0.2734375,0.5456846513959165,64,209
093483463d55bae9,0.975,0.4563997354583129,20,420
0a3b1074aad9e749,0.07352941176470588,0.31522908783251613,17,763
0b52aa038effd58d,0.6276744186046512,0.7816360732014528,43,563
0cb97d47d3bef28a,0.9886363636363636,0.026723516415263663,22,574
0ddab73a4e87bdc0,1.0,,43,503
0ddd5e7b603a7695,0.9071428571428571,0.48366476614201964,35,447
0dec9447dfd6c56b,0.6828703703703703,0.40145659510893017,27,628
0e221c0198e8022c,1.0,,9,259
0eb547b6ee8fd829,0.43014705882352944,0.7074738199772218,68,276
0fff83502e6933db,1.0,,20,154
108cef61cccd28c6,0.6764705882352942,0.42231486787756406,17,498
10f036882e186b9a,0.7630494505494504,0.38027601960090046,18,1
13ff76b73e5e0bc5,0.6484375,0.8370959305662852,64,257
1464d1cbcca9d7b9,0.30978260869565216,0.27218955625484187,23,558
148eaca3b2cde5f8,0.16666666666666666,0.31612230428588767,9,490
14afe62ce86d9847,1.0,,9,196
1519aa294d7c5e25,0.9431818181818182,0.3384132854244011,22,491
154faaa469ecd960,0.8333333333333334,-0.6374510136619966,9,309
15e9a73535c166ae,1.0,,20,455
160086e4df67a790,0.975,0.4019978026169334,20,746
1743f8b6e193359f,0.6176470588235294,0.7930412251179536,68,1560
1765ea63e02a4158,0.17647058823529413,0.5606471329118862,17,530
17edb8cf3c0c215e,0.8428571428571429,0.7698293976481065,35,589
18775a949a0b58c0,0.8088235294117647,0.48073582804650755,17,455
19434ef22df334a8,0.05357142857142857,0.48174302980816347,21,894
19733e49fc1840aa,0.9545454545454546,0.1953130924183173,22,281
19b3cab36316010b,1.0,,9,363
19e2ac324a550a2b,0.7215909090909091,0.8058810065231733,44,265
1a216c4a62f6ab18,0.0,,36,415
1a4317c6dccfa3be,0.6764705882352942,0.8709362527445752,68,1306
1a7f05b8cf2dfece,0.35714285714285715,0.5875558966643385,35,402
1ae09ada95cd8a62,0.6284722222222222,0.6459330902960909,27,375
1c4dc8ab63838df8,0.9709302325581395,0.3469379914142355,43,171
1c9b4c5588b922ad,0.1323529411764706,0.24911216384863272,17,244
1cbaaaff09bf5f9b,0.6764705882352942,0.8457830161976235,68,492
1d6b954092fe1cbe,0.6511627906976745,0.7485484883935062,43,232
1d779512656eeadf,0.0840877914951989,0.22003493915293498,54,522
2017e7b4124102f1,0.9886363636363636,0.29081012724639915,44,388
203383fb11d3107f,0.8977272727272727,0.17912147504272422,22,976
