benchmark_id,n_models,n_items,n_observed,n_total,density,item_coverage_p10,item_coverage_p50,item_coverage_p90,model_coverage_p10,model_coverage_p50,model_coverage_p90,corr_difficulty_coverage,corr_strength_coverage,response_min,response_max,response_mean,response_type
afrimedqa,18,3910,70380,70380,1.0,18.0,18.0,18.0,3910.0,3910.0,3910.0,,,0.0,1.0,0.6391020176186417,binary
agentdojo,28,97,2690,2716,0.9904270986745214,27.0,28.0,28.0,97.0,97.0,97.0,-0.0951891161598834,0.08338653048738404,0.0,1.0,0.45706872159580386,binary
ai2d_test,254,3088,770916,784352,0.9828699359471258,246.0,250.0,253.0,3011.4,3088.0,3088.0,-0.09864923987304582,0.27625666215966066,0.0,1.0,0.7292827509149319,binary
androidworld,3,116,348,348,1.0,3.0,3.0,3.0,116.0,116.0,116.0,,,0.0,1.0,0.8764367816091955,binary
bfcl,93,4133,383722,384369,0.9983167216919159,92.0,93.0,93.0,4133.0,4133.0,4133.0,0.1533468006371865,-0.04272003049519272,0.0,1.0,0.6412321785095367,binary
cybench,8,40,320,320,1.0,8.0,8.0,8.0,40.0,40.0,40.0,,,0.0,1.0,0.096875,fraction
hle,19,1792,13339,34048,0.3917704417293233,1.0,9.0,10.0,2.8,1153.0,1341.8,-0.13579658194819264,0.6804214223002633,0.0,1.0,0.35271555236678004,binary
livecodebench,70,1055,65542,73850,0.8875016926201761,34.0,70.0,70.0,713.0,880.0,1055.0,0.12919432243841786,0.496280757544067,0.0,1.0,0.5936255922484079,binary
matharena,88,405,13592,35640,0.3813692480359147,16.0,28.0,64.0,30.0,152.5,299.09999999999974,-0.059140170845278714,0.5430873675236171,0.0,1.0,0.7051549949359771,mixed
mathvista_mini,263,874,229862,229862,1.0,263.0,263.0,263.0,874.0,874.0,874.0,,,0.0,1.0,0.25727491281769505,binary
mmbench_v11,251,3579,869590,898329,0.9680083800033172,237.0,244.0,248.0,3391.0,3579.0,3579.0,0.13105794419807323,0.07758176838568163,0.0,1.0,0.8011182497221796,binary
mmlupro,48,13542,556862,650016,0.8566896814847634,1.0,47.0,47.0,11844.2,11873.0,11873.0,0.0857811156699001,-0.5027512341103814,0.0,1.0,0.48818817682179816,binary
mtbench,34,160,5436,5440,0.9992647058823529,34.0,34.0,34.0,159.3,160.0,160.0,0.17075036590575846,-0.037222212085455605,0.0,1.0,0.5276638938403644,likert_10
rewardbench,118,2733,322494,322494,1.0,118.0,118.0,118.0,2733.0,2733.0,2733.0,,,0.0,1.0,0.7263365623339763,binary
swebench,134,500,67000,67000,1.0,134.0,134.0,134.0,500.0,500.0,500.0,,,0.0,1.0,0.5147014925373135,binary
ultrafeedback,17,63932,255817,1086844,0.23537600612415396,4.0,4.0,4.0,11718.2,16572.0,16759.4,-0.0015931652909576821,-0.07107843137254903,0.0,1.0,0.5933015603632431,likert_5
