subject_id,display_name,model_mean,n_items_observed,model_obs_rate
0193939f596d8345,20250316_augment_agent_v0,0.654,500,1.0
04b95a593f6f5419,20250629_deepswerl_r2eagent,0.422,500,1.0
09038c49b2b99e46,20241028_agentless-1.5_gpt4o,0.388,500,1.0
0d72fcff61f30c3e,20250515_Refact_Agent,0.704,500,1.0
0f4e03d9a7b25e0d,20250522_tools_claude-4-sonnet,0.724,500,1.0
1010baa8dd7f9e41,20250928_trae_doubao_seed_code,0.788,500,1.0
10acc6446eac2be5,20231010_rag_claude2,0.044,500,1.0
11388c5a0ccd318e,20241022_tools_claude-3-5-sonnet-updated,0.49,500,1.0
14e3a361ec87cea2,20250224_tools_claude-3-7-sonnet,0.632,500,1.0
154f8312c53fb053,20250225_sweagent_claude-3-7-sonnet,0.624,500,1.0
1613bb5438ca17b8,20250511_sweagent_lm_32b,0.402,500,1.0
1856cb8fa1f87b38,20231010_rag_swellama7b,0.014,500,1.0
1ac3622d3ac9eef2,20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,0.302,500,1.0
1c8ff958b924f28c,20250415_openhands,0.658,500,1.0
1f6f617030c3183b,20241016_composio_swekit,0.406,500,1.0
2084f45550a97b9d,20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.508,500,1.0
233545a3b14accee,20251127_openhands_claude-opus-4-5,0.776,500,1.0
262a2f80304d7224,20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.516,500,1.0
26ec154a9104da34,20240824_gru,0.452,500,1.0
277d2ec8265bfe27,20240612_MASAI_gpt4o,0.326,500,1.0
2981921719e7fcf2,20240617_factory_code_droid,0.37,500,1.0
2f2c2c477b88ec03,20250716_openhands_kimi_k2,0.654,500,1.0
31564916fc6f3242,20240920_solver,0.436,500,1.0
31c372510b7e901a,20250519_devlo,0.702,500,1.0
32a1c31d2ccdbe14,20241113_nebius-search-open-weight-models-11-24,0.406,500,1.0
3436a78309c033bc,20241212_google_jules_gemini_2.0_flash_experimental,0.522,500,1.0
3816dd622d06cda8,20251021_SalesforceAIResearch_SAGE_bash_only,0.73,500,1.0
385cc03037cc793c,20250519_trae,0.706,500,1.0
39ccc5d183efdc11,20250214_agentless_lite_o3_mini,0.424,500,1.0
3a2676b3d5f68807,20250819_ACoder,0.764,500,1.0
3b3d0d0d395a0860,20240402_rag_claude3opus,0.07,500,1.0
3b4cc6a5365e1a85,20250206_agentscope,0.634,500,1.0
3e622679eb021fd7,20240918_lingma-agent_lingma-swe-gpt-7b,0.102,500,1.0
402897e95a9e79de,20240721_amazon-q-developer-agent-20240719-dev,0.388,500,1.0
42c8ee842e140e79,20250110_blackboxai_agent_v1.1,0.628,500,1.0
46f5ef9378231385,20240820_epam-ai-run-gpt-4o,0.24,500,1.0
47418d64cde2eb8b,20240509_amazon-q-developer-agent-20240430-dev,0.256,500,1.0
4a0729dcdcdc364b,20251103_sonar-foundation-agent_claude-sonnet-4-5,0.748,500,1.0
4ae4986a0ef8b1aa,20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.622,500,1.0
4ce41840204e6214,20241125_enginelabs,0.518,500,1.0
4d1aac169a5b0570,20251120_livesweagent_gemini-3-pro-preview,0.774,500,1.0
4fb08df423b48e54,20241030_nfactorial,0.416,500,1.0
5438b5d0e542972d,20241108_devlo,0.542,500,1.0
5597606cbf4f654a,20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,0.516,500,1.0
56345e2fe3f6ef20,20250616_Skywork-SWE-32B+TTS_Bo8,0.47,500,1.0
58311fc1638e507c,20250728_zai_glm4-5,0.642,500,1.0
59fdfa2f5e4c375c,20241212_epam-ai-run-claude-3-5-sonnet,0.554,500,1.0
5a0ec81dfb809cd3,20250514_aime_coder,0.664,500,1.0
6257af05cf158b0b,20250118_codeshellagent_gemini_2.0_flash_experimental,0.442,500,1.0
659ab5bf04224d6c,20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.604,500,1.0
65a447c4a11a1da9,20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,0.328,500,1.0
668ff8ced0f0b71b,20250627_agentless_MCTS-Refine-7B,0.232,500,1.0
6910795b6bc578e8,20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.462,500,1.0
6f9db9b785e3bc48,20251015_Prometheus_v1.2.1_gpt5,0.744,500,1.0
7142615108800fc1,20231010_rag_swellama13b,0.012,500,1.0
7193e365153da453,20241208_gru,0.57,500,1.0
73161ff0aca5f570,20250612_trae,0.752,500,1.0
75ba8372c44e31ce,20241223_emergent,0.572,500,1.0
77814c1e4bf240e2,20251215_livesweagent_claude-opus-4-5,0.792,500,1.0
77eb75be918a7b94,20250522_sweagent_claude-4-sonnet-20250514,0.666,500,1.0
781a638ab7d81953,20250623_warp,0.71,500,1.0
78976a18a218df61,20241120_artemis_agent,0.32,500,1.0
7938ab1d653662c9,20250901_entroPO_R2E_QwenCoder30BA3B,0.522,500,1.0
79cb02beadcccfe3,20240402_rag_gpt4,0.028,500,1.0
7dce58c890e5f2a3,20241007_nfactorial,0.316,500,1.0
7dea3635fce5d7a9,20250503_patchpilot-v1.1-o4-mini,0.646,500,1.0
833859f1e18a7c01,20250603_Refact_Agent_claude-4-sonnet,0.744,500,1.0
837986e7f385ca72,20240402_sweagent_gpt4,0.224,500,1.0
84535cea38abdfdc,20250516_cortexa_o3,0.682,500,1.0
