item_id,item_difficulty,item_discrimination,n_models_observed,content_length
000145f2b81378e4,0.625,-0.18711404034403117,4,289
0001783c205f1448,0.3125,0.5627278461246774,4,501
000317c0b1a7d456,0.8125,0.8594737379919061,4,404
00039e06772531aa,1.0,,4,132
0006969cb1b21f5c,0.625,0.508006369464501,4,1364
000752c553dd91b4,0.375,0.05046198802900626,4,204
000757511f641423,0.8125,0.7349249942984508,4,1253
00077c5fbe591fae,0.8125,0.8722347671081774,4,96
0007c8e60e8499d7,0.625,0.9380818773151319,4,272
00087bf463c25df7,0.8125,0.747766897110927,4,249
00090010de84fb9d,0.75,0.5825861132578525,4,94
000ae7add876819d,0.5625,0.7992094378474158,4,55
000d1f78e9234a3f,0.25,-0.2848359946960638,4,298
000f13a196c992de,0.75,0.9566826701628505,4,223
000f37a29d3801f4,0.75,0.48639038352284264,4,131
00119d5b32659314,0.6875,0.9918397552104548,4,134
0012a4db6a8ab915,0.9375,0.690246390870098,4,132
00130f88d8f01cae,0.75,0.4511034775292829,4,728
00136f213e28aaf9,0.625,0.8383793469721821,4,163
0015219e2650fc2d,0.625,0.9412084065280869,4,1765
00156ff7114ae349,0.625,0.8533921120608116,4,3248
0015dbd85a9c890b,0.5625,0.7174853321650476,4,714
00160d37d01db129,0.5,0.6720459138534127,4,853
001693a0f9179752,0.6875,0.9919288312012108,4,855
0017377de5ccf884,0.8125,-0.8490631309754075,4,118
0017a1d6c821f44d,0.1875,0.4070302531532905,4,901
001912cdff950c56,0.625,0.9335570604404727,4,1082
00193f3bcb8b207d,0.75,0.9075535925656497,4,504
001a1e9e3e3f74ff,0.5625,-0.9613488950344383,4,2014
001b449bc2d1ef51,0.375,0.8233539969729005,4,481
001b6242e0da5536,0.625,-0.4617126549097499,4,672
001cf3089a6fc44b,0.5625,0.7913527299288706,4,471
001d1ec61fa8de6a,0.375,0.6617612237742214,4,962
001ea8089ea82cdc,0.625,0.6711521932420317,4,739
0021e64a1d047c8a,0.5,0.2732844639020871,4,646
00221c23dda86ace,0.3125,0.9647813176060079,4,1137
002228fa4da0a103,0.6875,0.9633611020657563,4,221
0024933527a69d5f,0.375,0.27769315998202637,4,948
0025205a0663aae4,0.6875,0.3202527058666072,4,63
00256b90f5e670d5,0.625,0.8724612059067841,4,1289
0026666f41c48951,0.6875,0.973641531344289,4,51
0027aeeaaa4e55b0,0.5625,-0.033171572957999815,4,76
0028e12c4fa0b79c,0.75,0.6099486981647365,4,51
0029d167aae4762d,0.25,0.865750429762827,4,542
002a5adf605e8f05,0.5625,0.5248506449589826,4,62
002b587d13198ec4,0.375,0.6755236561684516,4,2039
002ca1817937bee7,0.625,0.9778370014149731,4,47
002d57d6e7f93f40,0.625,0.8551464630597297,4,89
002e3f88a6798c01,0.5,0.8730235604345258,4,70
003042dd371397a1,0.6875,-0.8314352020308218,4,1038
00315ad882dd32dc,0.1875,0.7637815079525755,4,63
0032ac178ad8ada6,0.8125,0.7129210425614403,4,565
00385c2ac926753e,0.1875,0.8518791312089086,4,733
0039a8cf85a018ae,0.75,0.9454549700964321,4,39
0039d65ffcd7701f,0.4375,0.8025331971406257,4,970
003af366ffcc1555,0.1875,0.919642640678276,4,723
003b786037e9c4b5,0.375,0.8602823681503935,4,1611
003bbe9c38392dce,0.375,-0.6166734500903457,4,542
003d325fb041e85e,0.5625,0.3680185653369814,4,1443
003d3fa80c275810,0.6875,-0.8923097189600055,4,195
003d79e4bbdcaf74,0.3125,-0.139448515325886,4,208
003dfe9e5e615569,0.0,,4,820
003eba55e0d186d6,0.875,-0.7185404982846717,4,1316
003f0697ff9d12bc,0.5,0.993470437659466,4,3999
00408abdfc804646,0.6875,0.9872073270948041,4,74
0041d9396a56d044,0.5,-0.4545025033612462,4,222
004219ba218ff8f2,0.5,-0.4233971654377022,4,97
0042430e432c05c1,0.625,0.13183769305603713,4,55
